Fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Fontibón - Fon;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
﻿Fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Fontibón - Fon;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2016-01;85;95;57;;;75;54;76;50;64;56;69
2016-02;;91;42;51;;62;33;66;41;48;41;67
2016-03;;88;51;;;69;41;;48;54;49;67
2016-04;64;;;43;;54;;;;42;42;
2016-05;54;67;23;30;;44;17;38;22;;27;
2016-06;46;65;18;28;;38;;32;21;24;23;44
2016-07;45;;16;27;;34;15;29;22;23;21;45
2016-08;53;67;20;32;;40;17;35;26;28;22;
2016-09;53;67;29;38;;42;20;38;29;35;26;
2016-10;53;71;38;50;;50;22;49;34;41;35;43
2016-11;50;79;42;46;;55;25;62;29;45;35;41
2016-12;61;84;41;39;;62;28;54;;43;37;51
﻿Fecha;Kennedy - Ken;Carvajal - Carv;Centro de Alto rendimiento - CdAR;Usaquén - Usaq;Fontibón - Fon;Puente Aranda - Puen;San Cristóbal - SanC;Tunal - Tunal;Guaymaral - Gua;Las Ferias - LFer;MinAmbiente - MinA;Suba - Suba
2017-01;27;59;33;46;;33;45;50;50;54;39;24
2017-02;70;77;40;50;;58;35;63;45;50;40;61
2017-03;52;68;;;;51;30;52;30;40;;
2017-04;27;30;;16;;20;12;23;18;;17;22
2017-05;24;27;;;;17;9;19;11;13;;14
2017-06;48;67;;36;;43;;34;22;30;26;45
2017-07;40;51;18;22;;27;17;24;15;21;19;40
2017-08;54;64;26;27;;40;25;;26;31;23;50
2017-09;60;64;29;31;;42;25;35;27;34;26;52
2017-10;56;68;28;36;;49;28;42;27;33;28;50
2017-11;63;78;40;53;;61;36;55;32;50;;51
2017-12;57;65;36;45;;52;34;42;36;45;;54
﻿Periodo;"Kennedy - Ken
(µg/m³)";"Carvajal - Carv
(µg/m³)";"Centro de Alto rendimiento - CdAR
(µg/m³)";"Usaquén - Usaq
(µg/m³)";"Puente Aranda - Puen
(µg/m³)";"San Cristóbal - SanC
(µg/m³)";"Tunal - Tunal
(µg/m³)";"Guaymaral - Gua
(µg/m³)";"Las Ferias - LFer
(µg/m³)";"MinAmbiente - MinA
(µg/m³)";"Suba - Suba
(µg/m³)";"Fontibon - Font25
(µg/m³)"
2018-01;54;66;29;38;46;26;39;32;38;;48;
2018-02;65;70;41;60;61;40;56;42;56;;60;
2018-03;58;72;35;52;59;37;50;36;46;;54;
2018-04;52;74;31;44;50;35;47;25;36;34;45;
2018-05;49;;;34;40;27;29;22;27;29;41;
2018-06;41;64;;27;29;17;24;18;16;21;39;
2018-07;41;62;15;39;27;20;26;22;17;21;41;
2018-08;50;65;15;36;25;17;25;27;15;19;46;
2018-09;52;70;28;44;38;21;35;31;29;26;43;
2018-10;46;74;32;31;44;27;43;28;36;33;;
2018-11;50;78;34;32;52;28;44;;39;33;45;
2018-12;50;66;30;28;48;22;39;28;32;33;53;40
﻿Periodo;"Kennedy - Ken
(µg/m³)";"Carvajal - Carv
(µg/m³)";"Centro de Alto rendimiento - CdAR
(µg/m³)";"Usaquén - Usaq
(µg/m³)";"Puente Aranda - Puen
(µg/m³)";"San Cristóbal - SanC
(µg/m³)";"Tunal - Tunal
(µg/m³)";"Guaymaral - Gua
(µg/m³)";"Las Ferias - LFer
(µg/m³)";"MinAmbiente - MinA
(µg/m³)";"Suba - Suba
(µg/m³)";"Fontibon - Font25
(µg/m³)"
2019-01;44;65;29;32;41;27;33;24;32;32;51;37
2019-02;60;;47;42;59;37;45;37;45;39;61;53
2019-03;59;;45;44;57;39;46;37;47;40;58;55
2019-04;45;63;33;32;44;28;39;25;34;34;42;40
2019-05;42;61;25;31;40;21;32;21;28;27;38;33
2019-06;30;51;14;13;23;13;21;16;16;18;31;25
2019-07;32;56;17;14;22;16;23;18;17;19;39;29
2019-08;34;50;18;17;24;17;24;22;20;22;45;31
2019-09;39;43;25;19;36;20;26;22;26;31;44;35
2019-10;56;49;27;17;45;25;34;24;26;29;46;38
2019-11;48;43;27;;44;28;42;26;29;33;42;35
2019-12;37;54;19;;45;29;39;25;;32;50;37
